packet_id,timestep,routing_mode,src,dst,path,hop_count,end_to_end_latency_ms,base_latency_ms,queuing_delay_ms,path_loss_prob,delivered,demand_gbps,size_bytes,bottleneck_avail_bw_gbps,max_congestion
1572,32,rl_agent,3,7,"[3, 8, 7]",2,15.76753011325924,13.9,1.8675301132592388,0.0,True,0.05,1500,3.3325734627959633,0.6667426537204036
1573,32,rl_agent,6,8,"[6, 5, 4, 9, 8]",4,28.32490274263839,25.75,2.5749027426383897,0.0,True,0.05,1500,3.378208454385236,0.6621791545614764
1574,32,rl_agent,7,0,"[7, 1, 0]",2,22.906026973587284,21.5,1.4060269735872843,0.0,True,0.05,1500,3.417054448659095,0.6582945551340905
1575,32,rl_agent,5,0,"[5, 2, 0]",2,21.00235766186951,20.0,1.0023576618695103,0.0,True,0.05,1500,4.9107592400478035,0.5089240759952196
1576,32,rl_agent,5,9,"[5, 6, 5]",2,13.211520999250776,12.0,1.2115209992507765,0.0,False,0.05,1500,4.521774834327968,0.5478225165672032
1577,32,rl_agent,0,8,"[0, 3, 8]",2,19.324126782360644,17.5,1.8241267823606435,0.0,True,0.05,1500,3.2825734627959635,0.6717426537204036
1578,32,rl_agent,5,3,"[5, 2, 0, 3]",3,27.340692464845972,25.5,1.8406924648459722,0.0,True,0.05,1500,3.793399531017492,0.6206600468982508
1579,32,rl_agent,6,1,"[6, 5, 2, 0, 1]",4,35.1463852817831,32.5,2.646385281783097,0.0,True,0.05,1500,3.367054448659095,0.6632945551340905
1580,32,rl_agent,6,4,"[6, 5, 4]",2,10.997362269110472,9.75,1.2473622691104715,0.0,True,0.05,1500,4.421774834327969,0.5578225165672032
1581,32,rl_agent,4,11,"[4, 5, 10, 11]",3,15.701171869774766,13.25,2.4511718697747664,0.003484206438566173,True,0.05,1500,2.6040337265176747,0.7395966273482325
1582,32,rl_agent,0,9,"[0, 3, 8, 9]",3,24.79950153483349,22.5,2.299501534833489,0.0,True,0.05,1500,3.2325734627959637,0.6767426537204037
1583,32,rl_agent,1,5,"[1, 2, 5]",2,15.036705199603755,14.25,0.7867051996037553,0.0,True,0.05,1500,4.760759240047804,0.5239240759952196
1584,32,rl_agent,12,7,"[12, 7]",1,6.000020764892848,5.75,0.25002076489284786,0.0,True,0.05,1500,6.666482094951502,0.3333517905048498
1585,32,rl_agent,1,9,"[1, 7, 8, 9]",3,23.663440381806378,21.9,1.7634403818063795,0.0,True,0.05,1500,3.6071412694330673,0.6392858730566933
