step,episode,current_rate,drop_pct,peak_rate,incident_id
16599,7003,0.37,21.0,0.58,4
16603,7004,0.37,21.0,0.58,4
16635,7018,0.37,21.0,0.58,5
16637,7019,0.36,22.0,0.58,5
16639,7020,0.36,22.0,0.58,5
16643,7021,0.36,22.0,0.58,5
16644,7022,0.36,22.0,0.58,5
16645,7023,0.35,23.0,0.58,5
16649,7024,0.35,23.0,0.58,5
16653,7025,0.36,22.0,0.58,5
16655,7026,0.36,22.0,0.58,5
16656,7027,0.36,22.0,0.58,5
16658,7028,0.37,21.0,0.58,5
16677,7038,0.37,21.0,0.58,6
16678,7039,0.37,21.0,0.58,6
16680,7040,0.37,21.0,0.58,6
16682,7041,0.37,21.0,0.58,6
16684,7042,0.36,22.0,0.58,6
16687,7043,0.35,23.0,0.58,6
16688,7044,0.35,23.0,0.58,6
16690,7045,0.36,22.0,0.58,6
16691,7046,0.37,21.0,0.58,6
16694,7047,0.37,21.0,0.58,6
16737,7063,0.37,21.0,0.58,7
16740,7064,0.37,21.0,0.58,7
16745,7065,0.36,22.0,0.58,7
16746,7066,0.35,23.0,0.58,7
16748,7067,0.35,23.0,0.58,7
16750,7068,0.35,23.0,0.58,7
16752,7069,0.34,24.0,0.58,7
16753,7070,0.34,24.0,0.58,7
16755,7071,0.34,24.0,0.58,7
16757,7072,0.35,23.0,0.58,7
16758,7073,0.35,23.0,0.58,7
16760,7074,0.35,23.0,0.58,7
16761,7075,0.34,24.0,0.58,7
16766,7076,0.34,24.0,0.58,7
16771,7077,0.34,24.0,0.58,7
16775,7078,0.34,24.0,0.58,7
16778,7079,0.35,23.0,0.58,7
16779,7080,0.34,24.0,0.58,7
16783,7081,0.34,24.0,0.58,7
16785,7082,0.33,25.0,0.58,7
16788,7083,0.34,24.0,0.58,7
16790,7084,0.35,23.0,0.58,7
16793,7085,0.34,24.0,0.58,7
16795,7086,0.34,24.0,0.58,7
16797,7087,0.34,24.0,0.58,7
16802,7088,0.35,23.0,0.58,7
16803,7089,0.36,22.0,0.58,7
16805,7090,0.36,22.0,0.58,7
16807,7091,0.36,22.0,0.58,7
16809,7092,0.36,22.0,0.58,7
16810,7093,0.36,22.0,0.58,7
16811,7094,0.36,22.0,0.58,7
16813,7095,0.36,22.0,0.58,7
16817,7096,0.36,22.0,0.58,7
16818,7097,0.37,21.0,0.58,7
16823,7098,0.37,21.0,0.58,7
16824,7099,0.37,21.0,0.58,7
16825,7100,0.37,21.0,0.58,7
16827,7101,0.37,21.0,0.58,7
16830,7102,0.37,21.0,0.58,7
16833,7103,0.37,21.0,0.58,7
16836,7104,0.37,21.0,0.58,7
16838,7105,0.36,22.0,0.58,7
16839,7106,0.36,22.0,0.58,7
16840,7107,0.35,23.0,0.58,7
16843,7108,0.35,23.0,0.58,7
16847,7109,0.34,24.0,0.58,7
16848,7110,0.34,24.0,0.58,7
16849,7111,0.35,23.0,0.58,7
16853,7112,0.35,23.0,0.58,7
16858,7113,0.34,24.0,0.58,7
16862,7114,0.34,24.0,0.58,7
16865,7115,0.34,24.0,0.58,7
16867,7116,0.33,25.0,0.58,7
16870,7117,0.33,25.0,0.58,7
16874,7118,0.33,25.0,0.58,7
16875,7119,0.33,25.0,0.58,7
16878,7120,0.34,24.0,0.58,7
16882,7121,0.34,24.0,0.58,7
16884,7122,0.34,24.0,0.58,7
16886,7123,0.34,24.0,0.58,7
16888,7124,0.35,23.0,0.58,7
16889,7125,0.34,24.0,0.58,7
16891,7126,0.34,24.0,0.58,7
16893,7127,0.34,24.0,0.58,7
16895,7128,0.33,25.0,0.58,7
16897,7129,0.32,26.0,0.58,7
16898,7130,0.31,27.0,0.58,7
16900,7131,0.31,27.0,0.58,7
16903,7132,0.32,26.0,0.58,7
16905,7133,0.32,26.0,0.58,7
16909,7134,0.33,25.0,0.58,7
16916,7135,0.33,25.0,0.58,7
16919,7136,0.33,25.0,0.58,7
16924,7137,0.33,25.0,0.58,7
16926,7138,0.33,25.0,0.58,7
16930,7139,0.32,26.0,0.58,7
16934,7140,0.32,26.0,0.58,7
16936,7141,0.32,26.0,0.58,7
16937,7142,0.33,25.0,0.58,7
16939,7143,0.33,25.0,0.58,7
16941,7144,0.32,26.0,0.58,7
16942,7145,0.32,26.0,0.58,7
16945,7146,0.32,26.0,0.58,7
16947,7147,0.31,27.0,0.58,7
16949,7148,0.3,28.0,0.58,7
16951,7149,0.3,28.0,0.58,7
16952,7150,0.3,28.0,0.58,7
16956,7151,0.31,27.0,0.58,7
16960,7152,0.31,27.0,0.58,7
16964,7153,0.31,27.0,0.58,7
16967,7154,0.32,26.0,0.58,7
16968,7155,0.32,26.0,0.58,7
16969,7156,0.33,25.0,0.58,7
16971,7157,0.33,25.0,0.58,7
16972,7158,0.34,24.0,0.58,7
16974,7159,0.35,23.0,0.58,7
16976,7160,0.35,23.0,0.58,7
16978,7161,0.36,22.0,0.58,7
16981,7162,0.36,22.0,0.58,7
16982,7163,0.37,21.0,0.58,7
16983,7164,0.37,21.0,0.58,7
16986,7165,0.37,21.0,0.58,7
17031,7187,0.37,21.0,0.58,8
17032,7188,0.36,22.0,0.58,8
17034,7189,0.35,23.0,0.58,8
17035,7190,0.34,24.0,0.58,8
17036,7191,0.34,24.0,0.58,8
17043,7192,0.33,25.0,0.58,8
17045,7193,0.33,25.0,0.58,8
17046,7194,0.34,24.0,0.58,8
17050,7195,0.35,23.0,0.58,8
17052,7196,0.36,22.0,0.58,8
17054,7197,0.36,22.0,0.58,8
